"","x"
"362","Archeological Survey for the Loop 410 Improvements Project City of San Antonio, Bexar County, Texas"
"363","Archeological Survey for the Loop 410 Improvements Project City of San Antonio, Bexar County, Texas"
"364","National Register Testing at 41HM46, Hamilton County, Texas: CR 294 Bridge Replacement at the Leon River"
"365","Results of Testing and Research Design for Mitigation of Site 41MS32, A Burned Rock Midden Site in Mason County, Texas"
"366","Archaeological Monitoring of the San Jose Acequia (41BX267), Wastewater Facilities Improvements Program, San Antonio, Texas"
"367","Archaeological Testing of Resources Within the Shafter Historic Mining District US Highway 67, Presidio County, Texas"
"368","Archaeological Test Excavations at 41MV57: The Seco Mines Project, Maverick County, Texas"
"369","Excavations at Site 41CK193: Cultural Resource Investigations Along SH 158 West of the Town of Edith Coke County, Texas"
"370","Phase I Archaeological Survey of a 10-acre Habitat for Humanity Tract in Laredo, Webb County, Texas"
"371","Archaeological Survey and Backhoe Testing for Flume No. 3 Right-of-Way at Coleto Creek Reservoir, Goliad County, Texas"
"372","Archaeological Survey and Backhoe Testing for Flume No. 3 Right-of-Way at Coleto Creek Reservoir, Goliad County, Texas"
"373","Archaeological Testing of Site 41BX518 and other High-Potential Areas Along FM 2790 in Bexar County, Texas"
"374","Test Excavations at 41BL1214, Bell County, Texas: State Highway 95 Bridge Replacement at the Little River"
"375","Backhoe Trenching on the Banks of the Old San Antonio River at Pyron Avenue, City of San Antonio, Bexar County, Texas"
"376","Significance Testing at Preshistoric Archeological Site 41RK195, Rusk County, Texas"
"377","Ranchers, Farmers, Soldiers, and the CCC: The Background for Seven Historical Sites at Camp Bowie, Brown County, Texas"
"378","Initial Testing Report and Recommendations for Archaeological Resources Along Proposed Loop 1604, Bexar County, Texas"
"379","Ranchers, Farmers, Soldiers, and the CCC: The Background for Seven Historical Sites at Camp Bowie, Brown County, Texas"
"380","Ranchers, Farmers, Soldiers, and the CCC: The Background for Seven Historical Sites at Camp Bowie, Brown County, Texas"
"381","Ranchers, Farmers, Soldiers, and the CCC: The Background for Seven Historical Sites at Camp Bowie, Brown County, Texas"
"382","Ranchers, Farmers, Soldiers, and the CCC: The Background for Seven Historical Sites at Camp Bowie, Brown County, Texas"
"383","Ranchers, Farmers, Soldiers, and the CCC: The Background for Seven Historical Sites at Camp Bowie, Brown County, Texas"
"384","Ranchers, Farmers, Soldiers, and the CCC: The Background for Seven Historical Sites at Camp Bowie, Brown County, Texas"
"385","Intensive Pedestrian Survey of Selected Areas Within McAllister Park, San Antonio, Bexar County, Texas"
"386","Archaeological Inventory of 216 Acres of Martindale Army Aviation Support Facility, San Antonio, Bexar County, Texas"
"387","Results of Metal Detector Survey, Testing Operations, and Archival Studies The Wooten-Seale Plantation Site 41RT362"
"388","Archeological Investigations and National Register Testing at 41CV1636, Coryell County, Texas"
"389","Archaeological Monitoring and Testing at the Catalpa-Pershing Storm Drainage Project in San Antonio, Texas"
"390","National Register of Historic Places Eligibility Testing of Site 41LE326 Lee County, Texas"
"391","Investigations at the Vollrath Blacksmith Shop (41BX786), San Antonio, Bexar County, Texas"
"392","Archaeological Testing of 41BX1788 on the Salado Creek Greenway near Voelcker Ranch, San Antonio, Bexar County, Texas"
"393","Archaeological Reconnaissance and Survey of the Northeast Lakeview College Campus, Live Oak, Bexar County, Texas"
"394","Archaeological Reconnaissance and Survey of the Northeast Lakeview College Campus, Live Oak, Bexar County, Texas"
"395","Archaeological Reconnaissance and Survey of the Northeast Lakeview College Campus, Live Oak, Bexar County, Texas"
"396","Research Design and Data Recovery Plan Archaeological Site 41WM13 at Norman's Crossing, Williamson County, Texas"
"397","A Geoarcheological Survey of the Proposed Plainview Hike and Bike Trail, Hale County, Texas"
"398","Archeological Testing of 41BO185 A Possible Civil War Era Military Camp, West Columbia, Brazoria County, Texas"
"399","Archaeological Survey of Three Land Parcels and Shovel Testing of Four Sites at Camp Bowie, Brown County, Texas"
"400","Archaeological Survey of Three Land Parcels and Shovel Testing of Four Sites at Camp Bowie, Brown County, Texas"
"401","Archaeological Survey of Three Land Parcels and Shovel Testing of Four Sites at Camp Bowie, Brown County, Texas"
"402","An Archaeological Survey for the Southwest Texas Electric Cooperative in Schleicher and Crockett Counties, Texas"
"403","Archaeological Survey of Three Land Parcels and Shovel Testing of Four Sites at Camp Bowie, Brown County, Texas"
"404","An Archaeological Survey for the Southwest Texas Electric Cooperative in Schleicher and Crockett Counties, Texas"
"405","A Geoarcheological Survey of the Proposed Plainview Hike and Bike Trail, Hale County, Texas"
"406","Archaeological Reconnaissance and Survey of the Northeast Lakeview College Campus, Live Oak, Bexar County, Texas"
"407","National Register Eligibility Testing of 41MM340 and 41MM341, along Little River, Milam County, Texas"
"408","Excavations at 41LK67 a Prehistoric Site in the Choke Canyon Reservior, South Texas"
"409","Archaeological Monitoring of a Sidewalk Construction Project in Landa Park, New Braunfels, Comal County, Texas"
"410","Test Excavations and Monitoring at 41BX1598 A Multicomponent Historic Site in Bexar County, Texas"
"411","Moccasin Confluence: Occupation and Settlement in the Lower Fredericksburg Basin of the Edwards Plateau"
"412","Archaeological Testing for the Walker Ranch Park Bridge Project (41BX1271), San Antonio, Bexar County, Texas"
"413","Archaeological Testing at the Selma Stagecoach Stop and Post Office (41BX1409), Bexar County, Texas"
"414","Archeological Data Recovery Excavations along Becerra Creek (41WB556), Webb County, Texas"
"415","Moccasin Confluence: Occupation and Settlement in the Lower Fredericksburg Basin of the Edwards Plateau"
"416","Moccasin Confluence: Occupation and Settlement in the Lower Fredericksburg Basin of the Edwards Plateau"
"417","Preliminary Report of Testing of Sites 41TV338 and 41TV386 In the Barton Creek Drainage Travis County, Texas"
"418","Archeological Test Excavations at 41WM543 on FM 734, the Parmer Lane Extension, Williamson County, Texas"
"419","Archaeological Investigations for the Canyon Hydroelectric Project, Comal County, Texas"
"420","Archaeological Investigations for the Canyon Hydroelectric Project, Comal County, Texas"
"421","Archaeological Investigations for the Canyon Hydroelectric Project, Comal County, Texas"
"422","Archaeological Investigations for the Canyon Hydroelectric Project, Comal County, Texas"
"423","Archaeological Investigations for the Canyon Hydroelectric Project, Comal County, Texas"
"424","Archeological Testing and Evaluation of the Western Portion of 41CV1310, Fort Hood, Coryell County, Texas"
"425","Camp Maxey V Archaeological Testing of Seven Sites on the Camp Maxey Training Facility, Lamar County, Texas"
"426","Camp Maxey V Archaeological Testing of Seven Sites on the Camp Maxey Training Facility, Lamar County, Texas"
"427","Camp Maxey V Archaeological Testing of Seven Sites on the Camp Maxey Training Facility, Lamar County, Texas"
"428","Camp Maxey V Archaeological Testing of Seven Sites on the Camp Maxey Training Facility, Lamar County, Texas"
"429","Camp Maxey V Archaeological Testing of Seven Sites on the Camp Maxey Training Facility, Lamar County, Texas"
"430","Camp Maxey V Archaeological Testing of Seven Sites on the Camp Maxey Training Facility, Lamar County, Texas"
"431","Camp Maxey V Archaeological Testing of Seven Sites on the Camp Maxey Training Facility, Lamar County, Texas"
"432","Archaeological Investigations at the Ruiz Family Property (41BX795), San Antonio, Texas"
"433","National Register Testing at 41LT307, on CR 153 at the Navasota River, Limestone County, Texas"
"434","Archaeological Salvage Research at 41BX901, a Prehistoric Quarry in Bexar County, Texas"
"435","Archaeological Salvage Research at 41BX901, a Prehistoric Quarry in Bexar County, Texas"
"436","Archaeological Salvage Research at 41BX901, a Prehistoric Quarry in Bexar County, Texas"
"437","Final Report of Significance Testing at Site 41EP880 on Artcraft Road El Paso County, Texas"
"438","Archaeological Investigations at the Levi Jordan Plantation State Historic Site, Brazoria County, Texas"
"439","Additional Phase II Testing at 41BX323 in Brackenridge Park, San Antonio, Bexar County, Texas"
"440","Intensive Pedestrian Survey of the Phase II Portion of the Medina River Park Trail, Bexar County, Texas"
"441","Intensive Pedestrian Survey of the Phase II Portion of the Medina River Park Trail, Bexar County, Texas"
"442","Intensive Pedestrian Survey of the Phase II Portion of the Medina River Park Trail, Bexar County, Texas"
"443","Intensive Pedestrian Survey of the Phase II Portion of the Medina River Park Trail, Bexar County, Texas"
"444","Intensive Pedestrian Survey of the Phase II Portion of the Medina River Park Trail, Bexar County, Texas"
"445","Intensive Pedestrian Survey of the Phase II Portion of the Medina River Park Trail, Bexar County, Texas"
"446","Intensive Pedestrian Survey of the Phase II Portion of the Medina River Park Trail, Bexar County, Texas"
"447","Intensive Pedestrian Survey of the Phase II Portion of the Medina River Park Trail, Bexar County, Texas"
"448","Archaeological Testing and Recommendations for the Kennedy Bluffs Site, 41BP19, in Bastrop County, Texas"
"449","Archaeological Survey of the Proposed Lorence Creek Greenbelt, City of San Antonio, Bexar County, Texas"
"450","The Walnut Branch Hike and Bike Trail Pedestrian Survey, Guadalupe County, Texas"
"451","The Walnut Branch Hike and Bike Trail Pedestrian Survey, Guadalupe County, Texas"
"452","The Walnut Branch Hike and Bike Trail Pedestrian Survey, Guadalupe County, Texas"
"453","The Perez Ranch Project Reassessment of Four Archaeological Sites in South-central Bexar County, Texas"
"454","Archaeological Survey of the North Salado Greenway Belt, San Antonio, Bexar County, Texas"
"455","Archaeological Survey of the North Salado Greenway Belt, San Antonio, Bexar County, Texas"
"456","An Archaeological and Geomorphological Investigation of Northrup Park, Boerne, Kendall County, Texas"
"457","An Archaeological and Geomorphological Investigation of Northrup Park, Boerne, Kendall County, Texas"
"458","An Archaeological and Geomorphological Investigation of Northrup Park, Boerne, Kendall County, Texas"
"459","An Archaeological and Geomorphological Investigation of Northrup Park, Boerne, Kendall County, Texas"
"460","An Archaeological and Geomorphological Investigation of Northrup Park, Boerne, Kendall County, Texas"
"461","An Archaeological and Geomorphological Investigation of Northrup Park, Boerne, Kendall County, Texas"
"462","An Archaeological and Geomorphological Investigation of Northrup Park, Boerne, Kendall County, Texas"
"463","Test Excavations at the Culebra Creek Site, 41BX126, Bexar County, Texas"
"464","The Perez Ranch Project Reassessment of Four Archaeological Sites in South-central Bexar County, Texas"
"465","The Perez Ranch Project Reassessment of Four Archaeological Sites in South-central Bexar County, Texas"
"466","The Perez Ranch Project Reassessment of Four Archaeological Sites in South-central Bexar County, Texas"
"467","The Perez Ranch Project Reassessment of Four Archaeological Sites in South-central Bexar County, Texas"
"468","Testing and Data Recovery Excavations at 41BU51, Burleson County, Texas"
"469","Archeological Testing of the Pavo Real Site (41BX52), San Antonio, Bexar County, Texas"
"470","Camp Maxey IV Archaeological Testing of Six Sites, Lamar County, Texas"
"471","Camp Maxey IV Archaeological Testing of Six Sites, Lamar County, Texas"
"472","Camp Maxey IV Archaeological Testing of Six Sites, Lamar County, Texas"
"473","Camp Maxey IV Archaeological Testing of Six Sites, Lamar County, Texas"
"474","Camp Maxey IV Archaeological Testing of Six Sites, Lamar County, Texas"
"475","Camp Maxey IV Archaeological Testing of Six Sites, Lamar County, Texas"
"476","Archaeological Investigations at Sites in the Upper Cibolo Creek Watershed, Central Texas"
"477","Final Report of Test Excavations Along Loop 375 South-Central El Paso County, Texas"
"478","Final Report of Test Excavations Along Loop 375 South-Central El Paso County, Texas"
"479","Final Report of Test Excavations Along Loop 375 South-Central El Paso County, Texas"
"480","Final Report of Test Excavations Along Loop 375 South-Central El Paso County, Texas"
"481","Final Report of Test Excavations Along Loop 375 South-Central El Paso County, Texas"
"482","Final Report of Test Excavations Along Loop 375 South-Central El Paso County, Texas"
"483","Final Report of Test Excavations Along Loop 375 South-Central El Paso County, Texas"
"484","Excavations at Sites 41LK31/32 and 41LK202 in the Choke Canyon Reservoir, South Texas"
"485","Archaeological Studies at the CPS Butler Lignite Prospect, Bastrop and Lee Counties, Texas, 1983"
"486","Archeological Testing of TxDOT Right-of-Way through Site 41BL278, Bell County, Texas"
"487","Excavations at Sites 41LK31/32 and 41LK202 in the Choke Canyon Reservoir, South Texas"
"488","Problems of Ceramic Chronology in the Southeast: Does Shell-Tempered Pottery Appear Earlier than We Think?"
"489","Problems of Ceramic Chronology in the Southeast: Does Shell-Tempered Pottery Appear Earlier than We Think?"
"490","Archaeological Investigation of the San Juan Dam, 41BX266, Bexar County, Texas"
"491","Archaeological and Historical Investigations at 41BX180, Walker Ranch, San Antonio, Texas: Phase I"
"492","Phase II Archaeological Investigations at Lackland Air Force Base, San Antonio, Texas"
"493","Phase II Archaeological Investigations at Lackland Air Force Base, San Antonio, Texas"
"494","Phase II Archaeological Investigations at Lackland Air Force Base, San Antonio, Texas"
"495","Archaeological Investigations of a Shell Midden (41HR39) at De Zavala Point, Harris County, Texas"
"496","Archeological Testing of 41KM3 The Red Creek Site A Burned-Rock Midden Site Kimble County, Texas"
"497","Barrett Site (41MM382) Assessment, Milam County, Texas"
"498","Eligibility Testing at 41BU75, Burleson County, Texas"
"499","A Report of Testing at Archaeological Sites 41FY421, 41FY422, 41FY424 in Fayette County, Texas"
"500","A Report of Testing at Archaeological Sites 41FY421, 41FY422, 41FY424 in Fayette County, Texas"
"501","A Report of Testing at Archaeological Sites 41FY421, 41FY422, 41FY424 in Fayette County, Texas"
"502","Archaeological Survey of the CPS Butler Lignite Prospect, Bastrop and Lee Counties, Texas, 1984"
"503","Archaeological Survey of the CPS Butler Lignite Prospect, Bastrop and Lee Counties, Texas, 1984"
"504","Archaeological Survey of the CPS Butler Lignite Prospect, Bastrop and Lee Counties, Texas, 1984"
"505","Archaeological Survey of the CPS Butler Lignite Prospect, Bastrop and Lee Counties, Texas, 1984"
"506","Archaeological Survey of the CPS Butler Lignite Prospect, Bastrop and Lee Counties, Texas, 1984"
"507","Archaeological Survey of the CPS Butler Lignite Prospect, Bastrop and Lee Counties, Texas, 1984"
"508","Archaeological Survey of the CPS Butler Lignite Prospect, Bastrop and Lee Counties, Texas, 1984"
"509","Archaeological Survey of the CPS Butler Lignite Prospect, Bastrop and Lee Counties, Texas, 1984"
"510","Temporal Data Requirements, Luminescence Dates, and the Resolution of Chronological Structure of Late Prehistoric Deposits in the Central Mississippi River Valley"
"511","Archival Investigation of the Pyron Homestead (41BX278), New City Block 7657, San Antonio, Texas"
"512","Archaeological Survey and Testing at The City of Live Oak Park, Bexar County, Texas"
"513","Archaeological Survey of Huntsville State Park and Excavations in 41WA47 Walker County, Texas"
"514","Archaeological Survey of Huntsville State Park and Excavations in 41WA47 Walker County, Texas"
"515","Archaeological Survey of Huntsville State Park and Excavations in 41WA47 Walker County, Texas"
"516","Archaeological Survey of Huntsville State Park and Excavations in 41WA47 Walker County, Texas"
"517","Phase II Archaeological Investigations at Lackland Air Force Base, San Antonio, Texas"
"518","Archeological Testing of the Engstrand Well 41WM1157, in Williamson County, Texas"
"519","Archaeological Testing of Sites 41FY141, 41FY151, 41FY152, and 41FY153 Fayette County, Texas"
"520","Archaeological Testing of Sites 41FY141, 41FY151, 41FY152, and 41FY153 Fayette County, Texas"
"521","Archaeological Testing of Sites 41FY141, 41FY151, 41FY152, and 41FY153 Fayette County, Texas"
"522","Archaeological Testing of Sites 41FY141, 41FY151, 41FY152, and 41FY153 Fayette County, Texas"
"523","Archaeological Survey of Huntsville State Park and Excavations in 41WA47 Walker County, Texas"
"524","Temporal Data Requirements, Luminescence Dates, and the Resolution of Chronological Structure of Late Prehistoric Deposits in the Central Mississippi River Valley"
"525","Archaeological Survey and Testing: Castroville's County Village, Unit One, Medina County, Texas"
"526","Archaeological Survey of the Crystal City Municipal Landfill Extension, Zavala County, Texas"
"527","Archaeological Investigations at the Landa Park Golf Course, New Braunfels, Texas"
"528","Temporal Data Requirements, Luminescence Dates, and the Resolution of Chronological Structure of Late Prehistoric Deposits in the Central Mississippi River Valley"
"529","Archaeological Survey of the Covel Gardens Landfill Area in San Antonio, Bexar County, Texas"
"530","An Archaeological Survey along Leon Creek from Bandera to Babcock Roads, San Antonio, Texas"
"531","An Archaeological Survey along Leon Creek from Bandera to Babcock Roads, San Antonio, Texas"
"532","An Archaeological Survey along Leon Creek from Bandera to Babcock Roads, San Antonio, Texas"
"533","Research Design for Testing Archaeological Site 41ME29 State Highway 16 Medina County, Texas"
"534","Archaeological Survey of the CPS Butler Lignite Prospect, Bastrop and Lee Counties, Texas, 1984"
"535","Archaeological Survey of the CPS Butler Lignite Prospect, Bastrop and Lee Counties, Texas, 1984"
"536","Archaeological Survey of the CPS Butler Lignite Prospect, Bastrop and Lee Counties, Texas, 1984"
"537","Archaeological Survey of the CPS Butler Lignite Prospect, Bastrop and Lee Counties, Texas, 1984"
"538","Archaeological Survey of the CPS Butler Lignite Prospect, Bastrop and Lee Counties, Texas, 1984"
"539","An Archaeological Survey of the Proposed Retama/Selma Monopole Project"
"540","Millican Bench (41TV163) A Multicomponent Site in Travis County, Texas"
"541","An Intensive Pedestrian Archaeological Survey of a 117-acre Park in Kendall County, Texas"
"542","Archaeological Investigations at The United States Arsenal Site (41BX622), San Antonio, Texas"
"543","The T.C. Osborn Tenant Farm, 41BP314: An Early Sharecropper Site in Bastrop County, Texas"
"544","Research Design for Testing Archaeological Site 41KA25 Karnes County FM 81: at Cibolo Creek"
"545","An Archaeological Survey of the New Braunfels Little League Project, Comal County, Texas"
"546","An Archaeological Survey of the New Braunfels Little League Project, Comal County, Texas"
"547","An Archaeological Survey of a Proposed Dredge Spoil Site in Nueces County, Texas"
"548","Archaeological Investigations at a Spanish Colonial Site, (41KA26-B) Karnes County, Texas"
"549","Archaeological Survey of the Proposed Medina River Park, Bexar County, Texas"
"550","Archaeological Survey of the Proposed Medina River Park, Bexar County, Texas"
"551","Archaeological Survey of the Proposed Medina River Park, Bexar County, Texas"
"552","Archaeological Survey of the Proposed Medina River Park, Bexar County, Texas"
"553","Cultural Resources Inventory at Lake Corpus Christi State Park, San Patricio County, Texas"
"554","Cultural Resources Inventory at Lake Corpus Christi State Park, San Patricio County, Texas"
"555","Cultural Resources Inventory at Lake Corpus Christi State Park, San Patricio County, Texas"
"556","Cultural Resources Inventory at Lake Corpus Christi State Park, San Patricio County, Texas"
"557","Cultural Resources Inventory at Lake Corpus Christi State Park, San Patricio County, Texas"
"558","Cultural Resources Inventory at Lake Corpus Christi State Park, San Patricio County, Texas"
"559","An Archaeological Survey of the Medio Creek Water Treatment Plant, Bexar County, Texas"
"560","Archaeological Testing of the Burleson Homestead at 41HY37 Hays County, Texas"
"561","Archaeological Survey of the Proposed Medina River Park, Bexar County, Texas"
"562","Archaeological Survey of the Proposed Medina River Park, Bexar County, Texas"
"563","Archaeological Survey of the Proposed Medina River Park, Bexar County, Texas"
"564","Archaeological Survey of the Proposed Medina River Park, Bexar County, Texas"
"565","Archaeological Survey of the Proposed Medina River Park, Bexar County, Texas"
"566","Archaeological Survey of the Proposed Medina River Park, Bexar County, Texas"
"567","Archaeological Survey of the Proposed Medina River Park, Bexar County, Texas"
"568","Archaeological and Geological Test Excavations at Site 41HM61, Hamilton County, Texas"
"569","Archaeological Investigations at Fort Martin Scott (41GL52) in Gillespie County, Texas"
"570","Final Report of Test Excavations at Site 41PC476 Along S.H. 349 in Pecos County, Texas"
"571","Archaeological Testing at Sunrise Canyon Subdivision (41BX441), Universal City, Texas"
"572","Archeological Testing in the De Dietrich (USA), Inc. Project Site Nueces County Texas"
"573","Testing of Noodle Creek Site 41JS102 Jones County, Texas"
"574","Archaeological Survey for the Planned First Responders Academy, Bexar County, Texas"
"575","Archaeological Survey for the Planned First Responders Academy, Bexar County, Texas"
"576","Archaeological Testing of 41BX1131 at O.R. Mitchell Dam, Bexar County, Texas"
"577","Camp Maxey III Archaeological Testing of 23 Prehistoric Sites, Lamar County, Texas"
"578","Camp Maxey III Archaeological Testing of 23 Prehistoric Sites, Lamar County, Texas"
"579","Camp Maxey III Archaeological Testing of 23 Prehistoric Sites, Lamar County, Texas"
"580","Camp Maxey III Archaeological Testing of 23 Prehistoric Sites, Lamar County, Texas"
"581","Camp Maxey III Archaeological Testing of 23 Prehistoric Sites, Lamar County, Texas"
"582","Camp Maxey III Archaeological Testing of 23 Prehistoric Sites, Lamar County, Texas"
"583","Camp Maxey III Archaeological Testing of 23 Prehistoric Sites, Lamar County, Texas"
"584","Camp Maxey III Archaeological Testing of 23 Prehistoric Sites, Lamar County, Texas"
"585","Camp Maxey III Archaeological Testing of 23 Prehistoric Sites, Lamar County, Texas"
"586","Camp Maxey III Archaeological Testing of 23 Prehistoric Sites, Lamar County, Texas"
"587","Camp Maxey III Archaeological Testing of 23 Prehistoric Sites, Lamar County, Texas"
"588","Camp Maxey III Archaeological Testing of 23 Prehistoric Sites, Lamar County, Texas"
"589","Camp Maxey III Archaeological Testing of 23 Prehistoric Sites, Lamar County, Texas"
"590","Data Recovery Excavations at 41PR44, Fort Wolters, Parker County, Texas"
"591","An Archaeological Survey of 90 Acres at Camp Bowie, Brown County, Texas"
"592","An Archaeological Survey of 90 Acres at Camp Bowie, Brown County, Texas"
"593","Archaeological Investigations at 41LK201 Choke Canyon Reservoir, Southern Texas"
"594","A Reevaluation of a Lithic Procurement Site (41BX63) in Converse, Bexar County, Texas"
"595","The McAllister Park Roadway System Extension Project, San Antonio, Texas"
"596","The McAllister Park Roadway System Extension Project, San Antonio, Texas"
"597","The McAllister Park Roadway System Extension Project, San Antonio, Texas"
"598","Archaeological Investigations at sites near Natalia, Medina County, Texas"
"599","An Archaeological Study of the McPherson Road Extension Project Laredo, Texas"
"600","An Archaeological Study of the McPherson Road Extension Project Laredo, Texas"
"601","An Archaeological Study of the McPherson Road Extension Project Laredo, Texas"
"602","An Archaeological Survey of the Probst and McGriff Leases in Live Oak County, Texas"
"603","An Archaeological Survey of the Probst and McGriff Leases in Live Oak County, Texas"
"604","Archaeological Testing at Fort McIntosh, Laredo Junior College Campus, Laredo, Texas"
"605","Texas Excavations at Site 41FB191 (Jester Farm Site #1) Fort Bend County, Texas"
"606","The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest"
"607","The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest"
"608","Archaeological Testing at Crook's Park in San Marcos, Hays County, Texas"
"609","Archaeological Mitigation at 41BX300, Salado Creek Watershed, South-Central Texas"
"610","Archaeological Survey of Upper Leon Creek Terraces, Bexar County, Texas"
"611","Significance Testing of Site 41SS164, San Saba County, Texas"
"612","Archaeological Testing of Six Sites Along U.S. Highway 56 El Paso County, Texas"
"613","Archaeological Testing of Six Sites Along U.S. Highway 56 El Paso County, Texas"
"614","Long-Distance Logistic Mobility as an Organizing Principle among Northern Hunter-Gatherers: A Great Lakes Middle Holocene Settlement System"
"615","41BX68: A Preshitoric Quarry-Workshop In Northern Bexar County, Texas"
"616","Camp Mabry Archaeological Survey and Testing, Travis County, Texas"
"617","Camp Mabry Archaeological Survey and Testing, Travis County, Texas"
"618","Camp Mabry Archaeological Survey and Testing, Travis County, Texas"
"619","Archaeological Investigations at the Gresser House (41BX369) San Antonio, Texas"
"620","Archaeological Monitoring at Three Prehistoric Locales in Zapata County, Texas"
"621","Archaeological Monitoring at Three Prehistoric Locales in Zapata County, Texas"
"622","Archaeological Testing at the Camp Pearl Wheat Site 41KR243, Kerr County, Texas"
"623","Archaeological Testing of Sites 41TG114, 41TG115, and 41TG116 Tom Green, Texas"
"624","Archaeological Testing of Sites 41TG114, 41TG115, and 41TG116 Tom Green, Texas"
"625","Archaeological Testing of Sites 41TG114, 41TG115, and 41TG116 Tom Green, Texas"
"626","The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest"
"627","Archaeological Testing of the Reading Site, Site 41BU16 Burleson County, Texas"
"628","An Archaeological Survey of a Proposed Water Main in Val Verde County, Texas"
"629","Long-Distance Logistic Mobility as an Organizing Principle among Northern Hunter-Gatherers: A Great Lakes Middle Holocene Settlement System"
"630","Long-Distance Logistic Mobility as an Organizing Principle among Northern Hunter-Gatherers: A Great Lakes Middle Holocene Settlement System"
"631","Long-Distance Logistic Mobility as an Organizing Principle among Northern Hunter-Gatherers: A Great Lakes Middle Holocene Settlement System"
"632","Archaeological Testing of Sites 41RT128 and 41 RT129 Robertson County, Texas"
"633","Archaeological Testing of Sites 41RT128 and 41 RT129 Robertson County, Texas"
"634","The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest"
"635","Archaeological Investigations at the Mayer House (41BX326) San Antonio, Texas"
"636","The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest"
"637","Long-Distance Logistic Mobility as an Organizing Principle among Northern Hunter-Gatherers: A Great Lakes Middle Holocene Settlement System"
"638","Results of Significance Testing at 41DW269 Dewitt County, Texas"
"639","Archeological Testing of Sites 41GD113 and 41GD114 in Goliad County, Texas"
"640","Archeological Testing of Sites 41GD113 and 41GD114 in Goliad County, Texas"
"641","Significance Testing of Site 41KM225, Kimble County, Texas"
"642","Report of Test Excavations Along FM 3359 in Panola County 41PN3 41PN4"
"643","Report of Test Excavations Along FM 3359 in Panola County 41PN3 41PN4"
"644","Archaeological Testing of Sites 41MK28 and 41MK29 McCulloch County, Texas"
"645","Data Recovery at 41MI96 in Mills County, Texas"
"646","National Register Testing of Site 41BT427, Burnet County, Texas"
"647","Archaeological Testing of Sites 41MK28 and 41MK29 McCulloch County, Texas"
"648","Archeological Testing at the Prehistoric Site of 41SM231 Smith County, Texas"
"649","Excavations at the McDonald Site, 41BX794, San Antonio, Bexar County, Texas"
"650","Test Excavations at the Jodie Bender Site, 41HS11 Harrison County, Texas"
"651","Cultural Resources Assessment of Midland North Loop Midland County, Texas"
"652","Cultural Resources Assessment of Midland North Loop Midland County, Texas"
"653","An Assessment of Prehistoric Sites 41CP228 and 41CP229 Camp County, Texas"
"654","An Assessment of Prehistoric Sites 41CP228 and 41CP229 Camp County, Texas"
"655","Archaeological Testing of Sites 41CJ75 and 41CJ76 Comanche County, Texas"
"656","Archaeological Testing of Sites 41CJ75 and 41CJ76 Comanche County, Texas"
"657","National Register Testing at 41SV153, Somervell County, Texas"
"658","The Berger Bluff Site (41GD30A): Excavations in the Upper Deposits, 1979."
"659","The Berger Bluff Site (41GD30A): Excavations in the Upper Deposits, 1979."
"660","Archaeological Survey of the Paloma Subdivision, Bexar County, Texas"
"661","Archaeological Survey of the Paloma Subdivision, Bexar County, Texas"
"662","Archaeological Survey of the Paloma Subdivision, Bexar County, Texas"
"663","Archaeological Survey of the Paloma Subdivision, Bexar County, Texas"
"664","History and Archaeology of the Hot Wells Hotel Site, 41BX237"
"665","Archeological Testing of Sites 41WB437 and 41WB438 Webb County, Texas"
"666","Accelerator Mass Spectrometry Radiocarbon Dating of Temper in Shell-Tempered Ceramics: Test Cases from Mississippi, Southeastern United States"
"667","Accelerator Mass Spectrometry Radiocarbon Dating of Temper in Shell-Tempered Ceramics: Test Cases from Mississippi, Southeastern United States"
"668","Accelerator Mass Spectrometry Radiocarbon Dating of Temper in Shell-Tempered Ceramics: Test Cases from Mississippi, Southeastern United States"
"669","Archaeological Testing of the Cave at Site 41BX22 Bexar County, Texas"
"670","Accelerator Mass Spectrometry Radiocarbon Dating of Temper in Shell-Tempered Ceramics: Test Cases from Mississippi, Southeastern United States"
"671","Test Excavations at Site 41TT87 on County Road 211 Titus County, Texas"
"672","Accelerator Mass Spectrometry Radiocarbon Dating of Temper in Shell-Tempered Ceramics: Test Cases from Mississippi, Southeastern United States"
"673","Underwater Archaeology at 41HY147, the Terrace Locality at Spring Lake"
"674","Archaeological Test Excavations at 41KF118 Kaufman County, Texas"
"675","Accelerator Mass Spectrometry Radiocarbon Dating of Temper in Shell-Tempered Ceramics: Test Cases from Mississippi, Southeastern United States"
"676","Building Confidence in Shell: Variations in the Marine Radiocarbon Reservoir Correction for the Northwest Coast over the past 3,000 Years"
"677","Building Confidence in Shell: Variations in the Marine Radiocarbon Reservoir Correction for the Northwest Coast over the past 3,000 Years"
